interval_index,delta_T_ma,delta_T_normalized
1,9.799999999999955,1.8007072536652997
2,8.0,1.4699651050329046
3,7.0,1.2862194669037914
4,5.0,0.9187281906455653
5,4.5,0.8268553715810089
6,4.0,0.7349825525164523
7,3.5,0.6431097334518957
8,3.0,0.5512369143873392
9,4.5,0.8268553715810089
10,4.100000000000023,0.7533571163293677
11,7.699999999999989,1.4148414135941685
12,7.699999999999989,1.4148414135941685
13,2.6999999999999886,0.4961132229486032
14,8.900000000000034,1.6353361793491126
15,5.399999999999977,0.9922264458972064
16,7.800000000000011,1.433215977407084
17,1.3999999999999773,0.2572438933807541
18,3.0,0.5512369143873392
19,2.3000000000000114,0.42261496769696216
20,5.100000000000023,0.9371027544584808
21,2.8999999999999773,0.5328623505744238
22,3.1000000000000227,0.5696114782002547
23,1.7999999999999545,0.33074214863239515
24,2.6000000000000227,0.47773865913569813
25,3.8000000000000114,0.6982334248906318
26,8.399999999999977,1.5434633602845456
27,3.1999999999999886,0.5879860420131597
28,14.300000000000011,2.627562625246319
29,5.600000000000023,1.0289755735230373
30,5.0,0.9187281906455653
31,10.5,1.9293292003556872
32,13.300000000000011,2.4438169871172057
33,12.199999999999989,2.2416967851751775
34,15.800000000000011,2.9031810824399886
35,7.699999999999989,1.4148414135941685
36,8.0,1.4699651050329046
37,8.199999999999989,1.506714232658725
38,3.3000000000000114,0.6063606058260752
39,4.800000000000011,0.8819790630197448
40,5.3799999999999955,0.9885515331346275
41,3.419999999999959,0.6284100824015592
42,6.600000000000023,1.2127212116521504
43,10.490000000000009,1.9274917439743977
44,6.110000000000014,1.1226858489688833
45,2.6200000000000045,0.48141357189827705
46,4.769999999999982,0.876466693875866
47,5.3700000000000045,0.986714076753338
48,2.2379999999999995,0.41122273813295496
49,0.7019999999999982,0.12898943796663703
50,4.0,0.7349825525164523
51,5.199999999999989,0.9554773182713858
52,5.0,0.9187281906455653
53,10.0,1.8374563812911306
54,21.5,3.950531219775931
55,4.099999999999994,0.7533571163293625
56,1.9000000000000057,0.3491167124453159
57,8.699999999999989,1.5985870517232816
58,6.600000000000023,1.2127212116521504
59,9.5,1.745583562226574
60,3.799999999999983,0.6982334248906266
61,2.700000000000017,0.49611322294860843
62,2.8999999999999773,0.5328623505744238
63,3.8000000000000114,0.6982334248906318
64,6.699999999999989,1.2310957754650556
65,5.600000000000023,1.0289755735230373
66,4.199999999999989,0.7717316801422728
67,5.199999999999989,0.9554773182713858
68,7.200000000000017,1.3229685945296172
69,6.829999999999998,1.254982708421842
70,4.36999999999999,0.8029684386242223
71,8.400000000000006,1.543463360284551
72,12.5,2.2968204766139135
73,6.599999999999994,1.2127212116521453
74,4.1000000000000085,0.7533571163293652
75,3.5,0.6431097334518957
76,2.700000000000003,0.4961132229486058
77,11.5,2.1130748384848004
78,6.099999999999994,1.1208483925875887
79,4.399999999999999,0.8084808077680973
80,2.3999999999999986,0.4409895315098711
81,3.200000000000003,0.5879860420131623
82,8.200000000000003,1.5067142326587277
83,6.599999999999994,1.2127212116521453
84,3.490000000000002,0.641272277070605
85,3.8100000000000023,0.7000708812719212
86,6.079999999999998,1.117173479825007
87,4.789999999999999,0.8801416066384514
88,2.59,0.47590120275440284
89,4.450000000000001,0.8176680896745534
90,2.17,0.3987280347401753
91,2.1899999999999995,0.4024029475027575
92,4.384,0.8055408775580317
93,1.9130000000000003,0.35150540574099337
94,1.733,0.31843119087775296
95,1.02,0.18742055089169532
96,0.78,0.14332159774070818
97,1.026,0.18852302472047
98,0.645,0.11851593659327793
99,0.1173,0.021553363352544964
